test_id	gene_id	gene	locus	sample_1	sample_2	status	value_1	value_2	log2(fold_change)	test_stat	p_value	q_value	significant
CYP4B1	CYP4B1	CYP4B1	chr1:47264669-47285021	patient	control	OK	382.688	134.253	181.071	526.254	5,00E-05	0.0140016	yes
CYP4X1	CYP4X1	CYP4X1	chr1:47489239-47516423	patient	control	OK	430.477	106.728	130.993	392.501	0.00015	0.03125	yes
DEGS2	DEGS2	DEGS2	chr14:100612752-100626012	patient	control	OK	123.647	369.609	157.977	528.636	5,00E-05	0.0140016	yes
DKK3	DKK3	DKK3	chr11:11984542-12030917	patient	control	OK	48.43	250.027	-0.953814	-359.497	0.00025	0.043125	yes
EDIL3	EDIL3	EDIL3	chr5:83236413-83680685	patient	control	OK	138.012	653.211	-107.917	-392.637	5,00E-05	0.0140016	yes
EDNRA	EDNRA	EDNRA	chr4:148402068-148466106	patient	control	OK	525.935	269.993	-0.961961	-353.657	0.00015	0.03125	yes
ELL2	ELL2	ELL2	chr5:95220801-95297775	patient	control	OK	312.428	149.467	-10.637	-395.955	5,00E-05	0.0140016	yes
ERBB2	ERBB2	ERBB2	chr17:37844336-37884915	patient	control	OK	379.353	15.602	-20.451	195.473	0.0004655	0.00632554	yes
ERMN	ERMN	ERMN	chr2:158175124-158184146	patient	control	OK	605.981	119.265	-23.451	-60.247	5,00E-05	0.0140016	yes
FBXL16	FBXL16	FBXL16	chr16:742499-755825	patient	control	OK	160.236	341.278	109.075	408.836	0.0001	0.0250727	yes
FGFR2	FGFR2	FGFR2	chr10:123237843-123357972	patient	control	OK	116.387	364.171	164.569	40.751	5,00E-05	0.0140016	yes
FXYD6	FXYD6	FXYD6	chr11:117690789-117748201	patient	control	OK	40.807	190.584	-109.839	-398.591	0.0001	0.0250727	yes
GALNT15	GALNT15	GALNT15	chr3:16216183-16271253	patient	control	OK	233.808	821.554	-15.089	-556.106	5,00E-05	0.0140016	yes
GALNT5	GALNT5	GALNT5	chr2:158114339-158167913	patient	control	OK	586.511	189.127	-163.281	-438.311	0.00015	0.03125	yes
GFPT2	GFPT2	GFPT2	chr5:179727699-179780315	patient	control	OK	344.814	16.149	-109.437	-408.532	0.0001	0.0250727	yes
GJB2	GJB2	GJB2	chr13:20761603-20767114	patient	control	OK	309.823	147.739	-10.684	-390.409	0.0002	0.0383333	yes
GOLIM4	GOLIM4	GOLIM4	chr3:167727653-167813417	patient	control	OK	463.025	227.216	-102.703	-384.509	0.00015	0.03125	yes
GPR68	GPR68	GPR68	chr14:91698875-91720224	patient	control	OK	227.216	950.869	-125.674	-449.161	5,00E-05	0.0140016	yes
GRAMD2	GRAMD2	GRAMD2	chr15:72452146-72490136	patient	control	OK	515.005	143.751	148.092	500.896	5,00E-05	0.0140016	yes
GRIK3	GRIK3	GRIK3	chr1:37261127-37499844	patient	control	OK	126.174	337.154	141.799	448.203	5,00E-05	0.0140016	yes
HAR1A	HAR1A	HAR1A	chr20:61726844-61735737	patient	control	OK	396.902	100.635	134.227	41.275	5,00E-05	0.0140016	yes
HCP5	HCP5	HCP5	chr6_ssto_hap7:2761726-2764356	patient	control	OK	158.318	337.722	109.301	404.598	0.00015	0.03125	yes
HSD17B1	HSD17B1	HSD17B1	chr17:40703983-40707232	patient	control	OK	162.111	383.885	12.437	456.978	5,00E-05	0.0140016	yes
HTRA3	HTRA3	HTRA3	chr4:8271488-8308838	patient	control	OK	131.11	537.861	-128.547	-461.066	5,00E-05	0.0140016	yes
ID1	ID1	ID1	chr20:30193085-30194317	patient	control	OK	171.086	489.295	-180.595	-449.108	0.00025	0.043125	yes
ID3	ID3	ID3	chr1:23884420-23886285	patient	control	OK	179.094	750.808	-12.542	-46.683	5,00E-05	0.0140016	yes
ID4	ID4	ID4	chr6:19837600-19842431	patient	control	OK	148.286	261.689	-250.246	-782.954	5,00E-05	0.0140016	yes
INHA	INHA	INHA	chr2:220436953-220440435	patient	control	OK	609.428	251.967	204.771	601.347	5,00E-05	0.0140016	yes
INHBA	INHBA	INHBA	chr7:41728600-41818976	patient	control	OK	715.492	315.834	-117.977	-440.032	5,00E-05	0.0140016	yes
INHBB	INHBB	INHBB	chr2:121103718-121109383	patient	control	OK	299.209	599.731	100.316	373.184	0.0003	0.0493798	yes
IRAK3	IRAK3	IRAK3	chr12:66582977-66648394	patient	control	OK	985.986	49.792	-0.985654	-364.638	0.00025	0.043125	yes
ITGAE	ITGAE	ITGAE	chr17:3617918-3704537	patient	control	OK	118.942	576.934	-104.378	-348.157	0.0003	0.0493798	yes
ITGB3	ITGB3	ITGB3	chr17:45331207-45401267	patient	control	OK	258.024	116.029	-115.302	-428.791	5,00E-05	0.0140016	yes
ITGBL1	ITGBL1	ITGBL1	chr13:102104943-103054124	patient	control	OK	105.61	430.464	-129.478	-446.907	5,00E-05	0.0140016	yes
KIAA1324	KIAA1324	KIAA1324	chr1:109656584-109749403	patient	control	OK	565.261	112.892	0.997955	367.091	0.0003	0.0493798	yes
KLF5	KLF5	KLF5	chr13:73629113-73651680	patient	control	OK	686.386	150.365	113.138	398.165	5,00E-05	0.0140016	yes
LMX1B	LMX1B	LMX1B	chr9:129376721-129463311	patient	control	OK	926.477	190.889	104.291	392.061	5,00E-05	0.0140016	yes
LPL	LPL	LPL	chr8:19796581-19824770	patient	control	OK	18.46	722.262	-135.381	-486.734	5,00E-05	0.0140016	yes
LRP12	LRP12	LRP12	chr8:105501458-105601252	patient	control	OK	150.883	68.528	-113.866	-412.136	5,00E-05	0.0140016	yes
LTBP1	LTBP1	LTBP1	chr2:33172368-33624575	patient	control	OK	693.707	316.348	-113.282	-397.629	5,00E-05	0.0140016	yes
MANEAL	MANEAL	MANEAL	chr1:38259773-38267278	patient	control	OK	373.041	88.704	124.967	376.043	0.00015	0.03125	yes
MAOA	MAOA	MAOA	chrX:43514154-43606071	patient	control	OK	460.184	179.309	-135.976	-409.023	5,00E-05	0.0140016	yes
MCCC2	MCCC2	MCCC2	chr5:70883114-70954530	patient	control	OK	274.762	598.867	112.406	41.411	5,00E-05	0.0140016	yes
MEDAG	MEDAG	MEDAG	chr13:31456698-31506745	patient	control	OK	903.844	342.585	-139.961	-515.958	5,00E-05	0.0140016	yes
MIR106B	MIR106B	MIR106B	chr7:99690350-99723128	patient	control	OK	593.443	0	#NAME?	#NAME?	0.009746	0.0015897	yes
MIR140	MIR140	MIR140	chr16:69796186-69975644	patient	control	OK	846.433	0	#NAME?	#NAME?	0.007856	0.045776	yes
MIR143	MIR143	MIR143	chr5:148786407-148812399	patient	control	OK	0	413.144	inf	#NAME?	0.0024975	0.00911242	yes
MIR148B	MIR148B	MIR148B	chr12:54718873-54745635	patient	control	OK	0	634.779	inf	#NAME?	0.00021881	0.007242	yes
MIR150	MIR150	MIR150	chr19:50004041-50004125	patient	control	OK	556.231	0	#NAME?	#NAME?	0.001237	0.025776	yes
MIR19B1	MIR19B1	MIR19B1	chr13:92000073-92006829	patient	control	OK	587.511	0	#NAME?	#NAME?	0.0135675	0.049822	yes
MIR21	MIR21	MIR21	chr17:57918626-57918698	patient	control	OK	2512.17	0	#NAME?	#NAME?	0.00034195	0.00997912	yes
MS4A1	MS4A1	MS4A1	chr11:60223281-60238225	patient	control	OK	0	184.922	inf	#NAME?	5,00E-05	0.0140016	yes
MST1R	MST1R	MST1R	chr3:49924435-49941306	patient	control	OK	584.984	122.362	106.468	384.645	0.00015	0.03125	yes
MTSS1	MTSS1	MTSS1	chr8:125563010-125740748	patient	control	OK	51.383	211.811	-127.851	-467.837	5,00E-05	0.0140016	yes
MUC5B	MUC5B	MUC5B	chr11:1244294-1283406	patient	control	OK	787.882	158.158	100.532	359.218	0.00015	0.03125	yes
MUCL1	MUCL1	MUCL1	chr12:55248298-55252174	patient	control	OK	230.586	737.702	167.773	617.735	5,00E-05	0.0140016	yes
NLGN4X	NLGN4X	NLGN4X	chrX:5808066-6146923	patient	control	OK	215.587	0.571363	-191.579	-435.296	0.00015	0.03125	yes
NRIP3	NRIP3	NRIP3	chr11:9002122-9025596	patient	control	OK	525.871	197.017	-141.639	-401.016	0.00015	0.03125	yes
NT5E	NT5E	NT5E	chr6:86159301-86205509	patient	control	OK	423.402	197.201	-110.236	-408.808	5,00E-05	0.0140016	yes
NUP210	NUP210	NUP210	chr3:13357729-13461819	patient	control	OK	369.915	775.457	106.785	38.294	0.00025	0.043125	yes
OSBPL8	OSBPL8	OSBPL8	chr12:76745577-76953589	patient	control	OK	170.387	723.112	-123.652	-461.404	5,00E-05	0.0140016	yes
PID1	PID1	PID1	chr2:229888688-230136057	patient	control	OK	616.956	147.537	-206.409	-497.463	5,00E-05	0.0140016	yes
PLEKHA6	PLEKHA6	PLEKHA6	chr1:204187978-204329057	patient	control	OK	11.131	234.538	107.524	400.012	0.0002	0.0383333	yes
PLLP	PLLP	PLLP	chr16:57290008-57318584	patient	control	OK	43.985	149.441	17.645	479.366	5,00E-05	0.0140016	yes
PNMT	PNMT	PNMT	chr17:37824233-37826728	patient	control	OK	510.045	220.252	211.046	517.031	5,00E-05	0.0140016	yes
PRAME	PRAME	PRAME	chr22:22890117-22909004	patient	control	OK	895.974	245.356	145.335	510.046	5,00E-05	0.0140016	yes
PRELP	PRELP	PRELP	chr1:203444882-203460479	patient	control	OK	964.108	387.271	-131.585	-462.492	5,00E-05	0.0140016	yes
PSCA	PSCA	PSCA	chr8:143751725-143764145	patient	control	OK	967.575	263.252	1.444	53.177	5,00E-05	0.0140016	yes
PTPRT	PTPRT	PTPRT	chr20:40701391-41818557	patient	control	OK	140.618	412.483	155.256	529.619	5,00E-05	0.0140016	yes
RAB23	RAB23	RAB23	chr6:57051790-57087112	patient	control	OK	159.172	808.515	-0.977243	-361.919	0.00025	0.043125	yes
RAB31	RAB31	RAB31	chr18:9708227-9862553	patient	control	OK	193.078	825.112	-122.652	-386.488	0.0002	0.0383333	yes
RASD2	RASD2	RASD2	chr22:35937351-35950045	patient	control	OK	882.741	373.567	-124.062	-380.589	0.0002	0.0383333	yes
RASSF8	RASSF8	RASSF8	chr12:26107587-26232825	patient	control	OK	174.337	890.293	-0.969525	-357.758	0.00025	0.043125	yes
REEP6	REEP6	REEP6	chr19:1491164-1497924	patient	control	OK	16.397	403.851	130.039	449.984	5,00E-05	0.0140016	yes
RGS2	RGS2	RGS2	chr1:192778168-192781407	patient	control	OK	117.359	463.906	-133.902	-499.774	5,00E-05	0.0140016	yes
RRP7A	RRP7A	RRP7A	chr22:42896584-42915829	patient	control	OK	14.201	314.373	114.648	42.507	5,00E-05	0.0140016	yes
SCG5	SCG5	SCG5	chr15:32933869-32989298	patient	control	OK	355.851	162.699	-112.907	-383.072	5,00E-05	0.0140016	yes
SCGB1B2P	SCGB1B2P	SCGB1B2P	chr19:35067637-35068596	patient	control	OK	0	262.425	inf	#NAME?	5,00E-05	0.0140016	yes
SCNN1B	SCNN1B	SCNN1B	chr16:23313590-23392620	patient	control	OK	125.874	271.049	110.658	402.844	0.0002	0.0383333	yes
SDC2	SDC2	SDC2	chr8:97505881-97624037	patient	control	OK	577.159	294.466	-0.970866	-360.225	0.00025	0.043125	yes
SEMA5A	SEMA5A	SEMA5A	chr5:9035137-9546233	patient	control	OK	677.086	295.235	-119.748	-437.862	5,00E-05	0.0140016	yes
SFRP4	SFRP4	SFRP4	chr7:37945534-37956525	patient	control	OK	287.928	Dez 41	-12.142	-447.479	0.0001	0.0250727	yes
SGIP1	SGIP1	SGIP1	chr1:66999824-67210768	patient	control	OK	15.411	732.765	-107.254	-39.356	5,00E-05	0.0140016	yes
SLC24A2	SLC24A2	SLC24A2	chr9:19507449-19787017	patient	control	OK	841.767	365.098	-120.514	-447.125	5,00E-05	0.0140016	yes
SLC34A2	SLC34A2	SLC34A2	chr4:25657434-25680368	patient	control	OK	142.249	484.595	-155.356	-543.004	5,00E-05	0.0140016	yes
SLC39A14	SLC39A14	SLC39A14	chr8:22224761-22291640	patient	control	OK	539.557	272.952	-0.983129	-355.912	0.0003	0.0493798	yes
SLITRK4	SLITRK4	SLITRK4	chrX:142710594-142723926	patient	control	OK	199.082	0.418251	-225.092	-544.871	5,00E-05	0.0140016	yes
SOAT1	SOAT1	SOAT1	chr1:179262848-179327814	patient	control	OK	238.949	122.825	-0.960095	-3.572	0.0001	0.0250727	yes
SPOCK1	SPOCK1	SPOCK1	chr5:136310986-136835018	patient	control	OK	400.049	195.657	-103.185	-383.892	0.0002	0.0383333	yes
STK38L	STK38L	STK38L	chr12:27397077-27478890	patient	control	OK	217.874	10.953	-0.992177	-371.993	0.0002	0.0383333	yes
SUSD3	SUSD3	SUSD3	chr9:95820969-95847418	patient	control	OK	105.404	276.438	139.103	424.012	0.00015	0.03125	yes
SYT12	SYT12	SYT12	chr11:66790189-66818334	patient	control	OK	162.897	383.214	123.419	461.463	5,00E-05	0.0140016	yes
TLR4	TLR4	TLR4	chr9:120466452-120479769	patient	control	OK	153.986	78.602	-0.97016	-362.739	0.0002	0.0383333	yes
TMEM125	TMEM125	TMEM125	chr1:43735664-43739673	patient	control	OK	103.189	223.816	111.702	376.058	0.0003	0.0493798	yes
TMEM45A	TMEM45A	TMEM45A	chr3:100211462-100296285	patient	control	OK	109.966	559.869	-0.973899	-363.841	0.0001	0.0250727	yes
TMEM63C	TMEM63C	TMEM63C	chr14:77648101-77725838	patient	control	OK	581.511	164.167	149.729	546.333	5,00E-05	0.0140016	yes
TMPRSS3	TMPRSS3	TMPRSS3	chr21:43791995-43816955	patient	control	OK	817.151	183.576	11.677	361.541	0.00025	0.043125	yes
TREM1	TREM1	TREM1	chr6:41242998-41254457	patient	control	OK	282.821	993.077	-150.991	-4.995	5,00E-05	0.0140016	yes
TTC39A	TTC39A	TTC39A	chr1:51752929-51810785	patient	control	OK	116.183	250.824	111.027	4.015	0.0001	0.0250727	yes
UCHL1	UCHL1	UCHL1	chr4:41258897-41270446	patient	control	OK	243.837	862.822	-149.878	-439.257	0.0001	0.0250727	yes
VSTM2L	VSTM2L	VSTM2L	chr20:36531498-36573747	patient	control	OK	707.327	180.717	135.329	435.687	5,00E-05	0.0140016	yes
WNT2	WNT2	WNT2	chr7:116916685-116963343	patient	control	OK	779.573	29.695	-139.246	-404.565	0.0001	0.0250727	yes
